第三	ラテン	店舗	Juana de Arco　青参道店(new）                              	Juana de Arco 表参道	001203	jdaaos02	227	00012101	
第三	ラテン	店舗	rooms Ji-Ba	rooms Ji-Ba	001391	rssjiba1	376	00012106	
第四	ライチ	店舗	ANATOMY OF HEARING 大阪                        	ANATOMY OF HEARING 大阪	001112	aohosk01	157	00013104	
第四第四	ライチ	店舗店舗	yellow chair                                  	YELLOW CHAIR	0137	laiyc01	12	00013101	
第四第四	ライチ	店舗店舗	ライチ 横浜                                   	ライチ 横浜ライチ 横浜	0288	laiyok03	16	00013102	
第四第四	ライチ	店舗店舗	ライチ 新宿                                   	ライチ 新宿ライチ 新宿	001061	laisi04	122	00013103	
第四第四	drama	店舗店舗	CINEMA H.P.FRANCE OSAKA	CINEMA H.P.FRANCE 大阪CINEMA H.P.FRANCE 大阪	001350	cihpf01	346	00014104 	
第四第四	drama	店舗店舗	CINEMA H.P.FRANCE 恵比寿CINEMA H.P.FRANCE 恵比寿	CINEMA H.P.FRANCE EBIS	001451	cihpf02	428	00014105	
第四第四	drama	店舗店舗	CINEMA H.P.FRANCE 京都CINEMA H.P.FRANCE 京都	CINEMA H.P.FRANCE KYOTO ISETAN	001730	cikyis	640	00014106	
第四第四	drama	店舗店舗	drama H.P.FRANCE TOKYO                        	drama H.P.FRANCE 新宿drama H.P.FRANCE 新宿	0253	drmtky03	83	00014101	
第四第四	drama	店舗店舗	drama H.P.FRANCE UMEDA                                     	drama H.P.FRANCE 梅田drama H.P.FRANCE 梅田	001216	drmumd04	237	00014103	
第四第四	drama	店舗店舗	drama H.P.FRANCE YOKOHAMA                                  	drama H.P.FRANCE 横浜drama H.P.FRANCE 横浜	001215	drmyok05	236	00014102 	
第四第四	drama	店舗店舗	drama H.P.FRANCE 日本橋drama H.P.FRANCE 日本橋	drama H.P.FRANCE NIHONBASHI TAKASHIMAYA	001782	dramant	682	00014107	
第四第四	WALL	店舗店舗	WALL                                          	WALL 原宿WALL 原宿	0268	walltk01	77	00015101	
第四第四	WALL	店舗店舗	WALL 難波                                     	WALL 大阪WALL 大阪	001110	wallos02	156	00015103	
第四第四	WALL	店舗店舗	WALL 福岡                                     	WALL 福岡WALL 福岡	001074	wallfk03	131	00015102	
第四第四	DTY	店舗店舗	destination Tokyo                             	destination Tokyo	0117	destint0	76	00016101	
第四第四	Outlet	店舗店舗	木更津アウトレット	H.P.FRANCE 木更津 H.P.FRANCE 木更津 	001696	9364ot	615	00021101	
第五第五	CNL	店舗店舗	CANNABIS Lady’s 新宿                         	CANNABIS LADIES 新宿CANNABIS LADIES 新宿	001063	cannal02	124	00024101	
第五	CONCENTO	店舗	CONCENTO PARIS H.P.FRANCE 銀座	CONCENTO PARIS H.P.FRANCE 銀座	001436	congnz	417	00023102	
第五	CONCENTO	店舗	CONCENTO PARIS H.P.FRANCE 大阪                	CONCENTO PARIS H.P.FRANCE 大阪	0201	conce01	66	00023101 	
第五	rooms	店舗	rooms SHOP新宿                    	rooms SHOP 新宿	001071	rsssin02	129	00028101 	
