ID,日付,昨年実績 ,日割予算,売上実績,取置計,顧客計,客数計
12,2007-08-01,217600,200000,200800,0,0,18
12,2007-08-02,227300,200000,145800,0,0,15
12,2007-08-03,330500,200000,169900,0,0,20
12,2007-08-04,327400,300000,226000,0,0,19
12,2007-08-05,260000,300000,320300,0,0,32
12,2007-08-06,150400,200000,179800,0,0,19
12,2007-08-07,175200,200000,180800,0,0,15
12,2007-08-08,220600,200000,182400,0,2,18
12,2007-08-09,200600,200000,280200,0,0,28
12,2007-08-10,221800,200000,212100,0,2,21
12,2007-08-11,266900,300000,302700,0,1,36
12,2007-08-12,380500,250000,237300,0,0,28
12,2007-08-13,245700,200000,240000,0,2,30
12,2007-08-14,203000,200000,226700,0,0,22
12,2007-08-15,194300,200000,236500,0,1,34
12,2007-08-16,150000,200000,189700,0,0,19
12,2007-08-17,252200,200000,236800,0,0,32
12,2007-08-18,330800,250000,191500,0,0,26
12,2007-08-19,225200,250000,222100,0,0,22
12,2007-08-20,153500,200000,135000,0,2,11
12,2007-08-21,210000,200000,189400,0,0,13
12,2007-08-22,221000,200000,168000,0,0,13
12,2007-08-23,203000,200000,108300,0,0,14
12,2007-08-24,272500,200000,148100,0,1,13
12,2007-08-25,367100,250000,332700,0,0,20
12,2007-08-26,224200,250000,303100,0,0,21
12,2007-08-27,197300,150000,180600,9900,0,14
12,2007-08-28,244200,150000,163300,0,0,17
12,2007-08-29,282900,150000,152700,0,0,12
12,2007-08-30,320800,150000,107700,0,0,10
12,2007-08-31,226900,150000,330700,0,0,13
23,2007-08-01,0,150000,153700,0,1,4
23,2007-08-02,0,150000,159200,0,1,6
23,2007-08-03,0,150000,150980,65000,1,8
23,2007-08-04,0,230000,247000,0,1,6
23,2007-08-05,0,280000,281600,82000,2,10
23,2007-08-06,0,170000,100540,28000,0,6
23,2007-08-07,0,150000,52800,0,0,5
23,2007-08-08,0,150000,150624,0,1,9
23,2007-08-09,0,150000,150480,82000,2,6
23,2007-08-10,0,170000,121400,0,2,7
23,2007-08-11,0,220000,220000,0,2,9
23,2007-08-12,0,280000,145800,236000,0,5
