12,2007-07-01,609200
12,2007-07-02,260300
12,2007-07-03,142500
12,2007-07-04,201300
12,2007-07-05,180500
12,2007-07-06,351300
12,2007-07-07,294500
12,2007-07-08,474300
12,2007-07-09,176300
12,2007-07-10,192800
12,2007-07-11,213600
12,2007-07-12,132700
12,2007-07-13,167400
12,2007-07-14,157600
12,2007-07-15,301200
12,2007-07-16,353000
12,2007-07-17,172500
12,2007-07-18,150000
12,2007-07-19,102900
12,2007-07-20,125500
12,2007-07-21,246000
12,2007-07-22,272300
12,2007-07-23,131700
12,2007-07-24,116900
12,2007-07-25,255600
12,2007-07-26,125100
12,2007-07-27,102100
12,2007-07-28,261600
12,2007-07-29,255800
12,2007-07-30,111800
12,2007-07-31,269600
23,2007-07-01,764870
23,2007-07-02,204200
23,2007-07-03,205340
23,2007-07-04,151510
23,2007-07-05,166040
23,2007-07-06,152260
23,2007-07-07,311150
23,2007-07-08,300510
23,2007-07-09,169000
23,2007-07-10,79760
23,2007-07-11,132410
23,2007-07-12,127700
23,2007-07-13,102240
23,2007-07-14,101040
23,2007-07-15,250300
23,2007-07-16,251500
23,2007-07-17,118860
23,2007-07-18,121100
23,2007-07-19,140640
23,2007-07-20,222720
23,2007-07-21,226650
23,2007-07-22,352220
23,2007-07-23,204600
23,2007-07-24,151260
23,2007-07-25,159800
23,2007-07-26,111300
23,2007-07-27,109300
23,2007-07-28,451940
23,2007-07-29,251100
23,2007-07-30,163700
23,2007-07-31,273700
14,2007-07-01,505700
14,2007-07-02,328900
14,2007-07-03,374700
14,2007-07-04,244500
14,2007-07-05,863600
14,2007-07-06,709000
14,2007-07-07,611900
14,2007-07-08,615200
14,2007-07-09,313400
14,2007-07-10,410900
14,2007-07-11,371800
14,2007-07-12,245200
14,2007-07-13,267700
14,2007-07-14,412500
14,2007-07-15,264500
14,2007-07-16,481000
14,2007-07-17,202000
14,2007-07-18,150000
14,2007-07-19,191400
14,2007-07-20,174000
14,2007-07-21,333700
14,2007-07-22,257200
14,2007-07-23,148000
14,2007-07-24,183800
14,2007-07-25,141300
14,2007-07-26,201800
14,2007-07-27,282800
14,2007-07-28,208400
14,2007-07-29,286500
14,2007-07-30,119800
14,2007-07-31,268600
15,2007-07-01,1363000
15,2007-07-02,624400
15,2007-07-03,611700
15,2007-07-04,606000
15,2007-07-05,718900
15,2007-07-06,620200
15,2007-07-07,856200
15,2007-07-08,807400
15,2007-07-09,353700
15,2007-07-10,405500
15,2007-07-11,394700
15,2007-07-12,370300
15,2007-07-13,478000
15,2007-07-14,489900
15,2007-07-15,405300
15,2007-07-16,508200
15,2007-07-17,334200
15,2007-07-18,400100
15,2007-07-19,406100
15,2007-07-20,374400
15,2007-07-21,354300
15,2007-07-22,533300
15,2007-07-23,211000
15,2007-07-24,305800
15,2007-07-25,386600
15,2007-07-26,334800
15,2007-07-27,343700
15,2007-07-28,451000
15,2007-07-29,360600
15,2007-07-30,303500
15,2007-07-31,351500
17,2007-07-01,1572200
17,2007-07-02,869000
17,2007-07-03,618500
17,2007-07-04,644500
17,2007-07-05,703200
17,2007-07-06,703600
17,2007-07-07,1077100
17,2007-07-08,830700
17,2007-07-09,479700
17,2007-07-10,483200
17,2007-07-11,471400
17,2007-07-12,402300
17,2007-07-13,405100
17,2007-07-14,639200
17,2007-07-15,658800
17,2007-07-16,594800
17,2007-07-17,359300
17,2007-07-18,350000
17,2007-07-19,373200
17,2007-07-20,250100
17,2007-07-21,385300
17,2007-07-22,546000
17,2007-07-23,351300
17,2007-07-24,183100
17,2007-07-25,317200
17,2007-07-26,221200
17,2007-07-27,239100
17,2007-07-28,432900
17,2007-07-29,465100
17,2007-07-30,357600
17,2007-07-31,275700
18,2007-07-01,454500
18,2007-07-02,197300
18,2007-07-03,240600
18,2007-07-04,163200
18,2007-07-05,144600
18,2007-07-06,95100
18,2007-07-07,226900
18,2007-07-08,452200
18,2007-07-09,218100
18,2007-07-10,120900
18,2007-07-11,152500
18,2007-07-12,110500
18,2007-07-13,156100
18,2007-07-14,31400
18,2007-07-15,574500
18,2007-07-16,258400
18,2007-07-17,139600
18,2007-07-18,289400
18,2007-07-19,268500
18,2007-07-20,250000
18,2007-07-21,221900
18,2007-07-22,256600
18,2007-07-23,92900
18,2007-07-24,221100
18,2007-07-25,109800
18,2007-07-26,140100
18,2007-07-27,68800
18,2007-07-28,174900
18,2007-07-29,348400
18,2007-07-30,150100
18,2007-07-31,95000
13,2007-07-01,612700
13,2007-07-02,254700
13,2007-07-03,314900
13,2007-07-04,157200
13,2007-07-05,171700
13,2007-07-06,183800
13,2007-07-07,271600
13,2007-07-08,352200
13,2007-07-09,268600
13,2007-07-10,202000
13,2007-07-11,211600
13,2007-07-12,423700
13,2007-07-13,313000
13,2007-07-14,638500
13,2007-07-15,426100
13,2007-07-16,352900
13,2007-07-17,232700
13,2007-07-18,205900
13,2007-07-19,210800
13,2007-07-20,175200
13,2007-07-21,529300
13,2007-07-22,587000
13,2007-07-23,0
13,2007-07-24,350800
13,2007-07-25,201700
13,2007-07-26,442900
13,2007-07-27,626900
13,2007-07-28,596800
13,2007-07-29,409900
13,2007-07-30,353000
13,2007-07-31,435400
27,2007-07-01,951300
27,2007-07-02,362300
27,2007-07-03,515900
27,2007-07-04,250600
27,2007-07-05,324600
27,2007-07-06,325000
27,2007-07-07,518700
27,2007-07-08,583500
27,2007-07-09,152300
27,2007-07-10,190200
27,2007-07-11,108900
27,2007-07-12,129500
27,2007-07-13,107900
27,2007-07-14,206300
27,2007-07-15,229600
27,2007-07-16,226100
